id,name
1,База
FD0220014,Бальзамические соусы
FD0805006,Компоты питьевые
FR0201001,Салаты мясн.ПРИСТ
FR0201003,Салаты ов/проч.ПРИСТ
AG_REBATE100000000000021500,Rabatt-Artikelgruppe
AG_REBATE100000000000021501,Rabatt-Artikelgruppe
AG_REBATE100000000000021502,Rabatt-Artikelgruppe
FD0101001,Блокирована (Вермуты
OLDGROUP3,Старые группы
OLDGROUP2,Старые группы
OLDGROUP,Старые группы
FD0101002,Блокирована (Вина иг
FD0101003,Блокирована (Вина кр
FD0101004,Блокирована (Вина кр
FD0101005,Блокирована (Вина кр
FD0101006,Блокирована (Вина на
FD0101007,Блокирована (Вина на
FD0101008,Блокирована (Вина на
FD0101009,Блокирована (Вина ша
FD0102001,Вина медовые
FD0102000,Вина плодовые и прочие
FD0100000,Алкоголь
FD0000000,FOOD
FD0102002,Блокирована (Вина пл
FD0102003,Сидры
FD0103001,Блокирована (Винные
FD0104001,Водка
FD0104000,Водка
FD0105001,Бренди
FD0105000,Коньяк и коньячные напитки
FD0105002,Кальвадос
FD0105003,Коньяк импортный
FD0105004,Коньяк отечественный
FD0105005,Напитки коньячные
FD0105006,"Коньяк СНГ(Арм,Груз)"
FD0106001,Абсент
FD0106000,Ликёро-водочные
FD0106002,Аперитив
FD0106003,Бальзам
FD0106004,Виски
FD0106005,Джин
FD0106006,Ликёры
FD0106007,Наливки
FD0106008,Настойки анисовые
FD0106009,Настойки водочные
FD0106010,Настойки прочие
FD0106011,Прочие ЛВИ
FD0106012,Ром
FD0106013,Саке
FD0106014,Текила
FD0107001,Слабоалког. напитки
FD0107000,Слабоалкогольные напитки
FD0108001,Вермуты белые
FD0108000,Вермуты
FD0108002,Вермуты красные
FD0108003,Вермуты розовые
FD0109001,Вин.нап.игр.белый
FD0109000,Винный напиток игристый
FD0109002,Вин.нап.игр.красный
FD0109003,Вин.нап.игр.розовый
FD0110001,Вин.нап.тих.белый
FD0110000,Винный напиток тихий
FD0110002,Вин.нап.тих.красный
FD0110003,Вин.нап.тих.розовый
FD0111001,Вино игристое белое
FD0111000,Вино игристое
FD0111002,Вино игрист.красное
FD0111003,Вино игрист.розовое
FD0112001,Вино креплен.белое
FD0112000,Вино крепленое
FD0112002,Вино креплен.красное
FD0112003,Вино креплен.розовое
FD0113001,Вино плодовое белое
FD0113000,Вино плодовое
FD0113002,Вино плодов.красное
FD0113003,Вино плодов.розовое
FD0114001,Вино тихое белое
FD0114000,Вино тихое
FD0114002,Вино тихое красное
FD0114003,Вино тихое розовое
FD0115001,Шампанское белое
FD0115000,Шампанское
FD0115002,Шампанское розовое
FD0115003,Шампанское красное
FD0116001,Вино б/алк.белое
FD0116000,Вино безалкогольное
FD0116002,Вино б/алк.красное
FD0116003,Вино б/алк.розовое
FD0201001,Варенье
FD0201000,"Варенье, мёд"
FD0200000,Бакалея (Food)
FD0201002,"Джем,конфит.,повидло"
FD0201003,Мёд
FD0202001,Горчица
FD0202000,"Горчица, хрен"
FD0202002,Хрен
FD0203001,Грибы сушеные
FD0203000,Грибы сушеные
FD0204001,Ветчина консервиров.
FD0204000,Консервы мясные
FD0204002,Говядина тушеная
FD0204003,Паштеты консервиров.
FD0204004,Пр. мясные консервы
FD0204005,Свинина тушеная
FD0205001,Горошек консервиров.
FD0205000,Консервы овощные
FD0205002,Грибы консервиров.
FD0205003,"Икра овощная,грибная"
FD0205004,Кукуруза консервир.
FD0205005,"Блокирована(Масл,ол)"
FD0205006,Овощные смеси конс.
FD0205007,Огурцы консервиров.
FD0205008,"Перец консерв., лечо"
FD0205009,Пр.конс.овощи(моно)
FD0205010,Томаты консервиров.
FD0205011,Фасоль консервиров.
FD0205012,Маслины
FD0205013,Оливки
FD0205014,Блокирована(Маслины)
FD0205015,Блокирована (Оливки)
FD0206001,Лососевые (консервы)
FD0206000,Консервы рыбные
FD0206002,"Морепр-ы,мор.капуста"
FD0206003,Консервы печени рыб
FD0206004,Пр. рыбные консервы
FD0206005,Шпроты
FD0206006,Сайра
FD0206007,Скумбрия
FD0206008,Тунец
FD0206009,"Килька,Бычки"
FD0206010,"Сардина,Сардинелла"
FD0206011,Морские деликатесы
FR0906010,Морковь
FD0206012,Морские салаты
FD0206013,Икра рыб
FD0206014,Готовые рыбные блюда
FD0206015,Паштеты рыбные
FD0206016,Блоктрована(Проч.рыб
FD0207001,Ананасы консервиров.
FD0207000,"Консервы фруктовые, ягодные"
FD0207002,Компоты конс.
FD0207003,Персики консервиров.
